IP Address,Is Public,IP Version,Is Whitelisted,Abuse Confidence Score,Country Code,Country Name,Usage Type,ISP,Domain,Hostnames,Is Tor,Total Reports,Distinct Users,Last Reported At
157.245.252.5,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,cad207fa80.research-scanner.com,false,322,142,2025-11-12T12:31:07+00:00
134.209.1.122,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,132,81,2025-11-12T13:13:34+00:00
138.68.131.233,true,4,false,100,GB,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,344,145,2025-11-12T00:18:41+00:00
129.212.190.51,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,210,108,2025-11-12T05:00:18+00:00
159.65.89.227,true,4,false,100,GB,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,301,133,2025-11-12T08:08:45+00:00
157.245.252.5,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,cad207fa80.research-scanner.com,false,322,142,2025-11-12T12:31:07+00:00
167.71.102.95,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,ce57f6dd6d.research-scanner.com,false,297,138,2025-11-12T11:28:55+00:00
164.92.86.252,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,296,129,2025-11-12T11:07:26+00:00
146.190.241.70,true,4,false,100,CA,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,336,138,2025-11-12T13:14:03+00:00
159.65.187.4,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,302,120,2025-11-12T12:10:10+00:00
142.93.4.137,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,299,135,2025-11-12T13:34:25+00:00
159.203.62.212,true,4,false,100,CA,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,312,140,2025-11-11T23:33:35+00:00
142.93.3.113,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,339,154,2025-11-11T22:03:34+00:00
138.68.92.186,true,4,false,100,DE,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,298,125,2025-11-12T12:10:10+00:00
167.99.119.168,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,0cb6c95368.research-scanner.com,false,266,119,2025-11-12T10:38:18+00:00
159.203.30.22,true,4,false,100,CA,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,256,109,2025-11-11T20:10:01+00:00
138.68.90.94,true,4,false,100,DE,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,274,116,2025-11-12T13:42:13+00:00
138.68.132.211,true,4,false,100,GB,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,292,133,2025-11-12T04:00:11+00:00
143.198.72.144,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,275,123,2025-11-12T00:43:36+00:00
159.65.89.227,true,4,false,100,GB,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,301,133,2025-11-12T08:08:45+00:00
146.190.241.52,true,4,false,100,CA,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,284,125,2025-11-12T08:00:49+00:00
138.68.94.43,true,4,false,100,DE,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,266,121,2025-11-12T07:53:35+00:00
134.122.41.182,true,4,false,100,CA,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,254,110,2025-11-12T10:50:04+00:00
209.38.136.74,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,305,136,2025-11-12T00:10:20+00:00
146.190.241.71,true,4,false,100,CA,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,309,118,2025-11-12T11:29:53+00:00
146.190.241.67,true,4,false,100,CA,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,330,132,2025-11-12T04:00:46+00:00
137.184.169.247,true,4,false,100,CA,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,321,129,2025-11-12T03:06:32+00:00
137.184.170.136,true,4,false,100,CA,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,325,132,2025-11-12T12:39:44+00:00
159.89.147.161,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,117,81,2025-11-12T07:30:28+00:00
209.38.136.79,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,340,128,2025-11-12T11:32:41+00:00
143.198.75.35,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,308,126,2025-11-12T12:40:19+00:00
67.207.95.230,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,ea3819fc3c.research-scanner.com,false,300,121,2025-11-12T13:14:13+00:00
143.198.64.48,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,284,133,2025-11-12T09:00:18+00:00
159.65.187.4,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,302,120,2025-11-12T12:10:10+00:00
138.68.150.191,true,4,false,100,GB,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,326,131,2025-11-12T11:41:29+00:00
161.35.238.241,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,da019a7af6.research-scanner.com,false,279,127,2025-11-12T00:30:05+00:00
157.230.128.22,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,137,91,2025-11-12T11:39:43+00:00
146.190.241.68,true,4,false,100,CA,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,310,127,2025-11-12T08:09:55+00:00
129.212.180.243,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,161,96,2025-11-12T06:11:50+00:00
138.197.131.20,true,4,false,100,CA,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,346,143,2025-11-11T18:26:15+00:00
64.226.70.121,true,4,false,100,DE,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,282,130,2025-11-12T12:31:12+00:00
137.184.135.133,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,302,135,2025-11-12T11:25:21+00:00
167.71.102.181,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,a7e6a40074.research-scanner.com,false,313,128,2025-11-12T11:00:51+00:00
209.38.128.112,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,279,134,2025-11-12T07:51:53+00:00
209.38.136.86,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,313,127,2025-11-12T11:39:44+00:00
129.212.184.242,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,148,85,2025-11-12T11:41:22+00:00
138.68.249.116,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,300b2485d0.research-scanner.com,false,256,118,2025-11-11T22:41:03+00:00
143.198.76.96,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,272,125,2025-11-12T12:40:20+00:00
137.184.163.171,true,4,false,100,CA,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,339,139,2025-11-12T10:29:01+00:00
178.128.66.109,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,a3a36d8ec3.research-scanner.com,false,278,128,2025-11-12T06:27:11+00:00
161.35.236.116,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,f6b7df9839.research-scanner.com,false,314,130,2025-11-12T00:11:34+00:00
159.223.203.97,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,ea665f510e.research-scanner.com,false,300,132,2025-11-12T13:36:21+00:00
129.212.188.167,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,163,101,2025-11-12T07:51:21+00:00
137.184.174.149,true,4,false,100,CA,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,316,125,2025-11-12T06:15:12+00:00
157.245.116.189,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,297,140,2025-11-12T02:37:47+00:00
157.245.118.24,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,326,141,2025-11-12T06:57:11+00:00
45.55.132.139,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,317,143,2025-11-12T00:39:21+00:00
138.197.118.33,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,17eb4672b3.research-scanner.com,false,311,132,2025-11-12T07:20:11+00:00
138.68.134.113,true,4,false,100,GB,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,300,126,2025-11-11T22:08:29+00:00
137.184.237.203,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,316,131,2025-11-12T00:01:08+00:00
165.232.138.158,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,287,130,2025-11-12T07:40:24+00:00
138.68.130.42,true,4,false,100,GB,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,293,126,2025-11-12T04:15:39+00:00
165.232.66.142,true,4,false,100,DE,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,318,137,2025-11-12T11:14:24+00:00
157.245.45.135,true,4,false,100,GB,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,285,122,2025-11-12T12:41:57+00:00
104.131.8.116,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,266,131,2025-11-12T00:47:14+00:00
138.197.131.7,true,4,false,100,CA,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,280,129,2025-11-11T22:46:19+00:00
138.197.101.95,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,81e379a683.research-scanner.com,false,336,139,2025-11-12T15:11:08+00:00
167.71.46.248,true,4,false,100,DE,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,316,122,2025-11-12T00:47:35+00:00
159.89.134.56,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,166,87,2025-11-12T12:41:58+00:00
138.68.145.7,true,4,false,100,GB,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,329,135,2025-11-12T07:20:10+00:00
167.71.110.14,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,92c4e0e514.research-scanner.com,false,296,130,2025-11-11T17:15:28+00:00
167.99.1.98,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,5f4f660652.research-scanner.com,false,340,138,2025-11-12T04:00:24+00:00
164.92.165.52,true,4,false,100,DE,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,289,125,2025-11-11T23:56:54+00:00
167.172.116.219,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,148,96,2025-11-11T22:29:11+00:00
104.131.8.56,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,289,119,2025-11-12T12:10:50+00:00
137.184.161.227,true,4,false,100,CA,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,336,133,2025-11-12T00:19:10+00:00
142.93.3.4,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,294,126,2025-11-12T13:34:24+00:00
137.184.14.10,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,295,121,2025-11-12T12:10:10+00:00
142.93.88.159,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,189,101,2025-11-11T21:04:17+00:00
